graph,query,run,runtime_ms
artificial_trees_truebase_1000_prepost,04_insert_first_root,1,14.606
artificial_trees_truebase_1000_prepost,04_insert_first_root,2,14.361
artificial_trees_truebase_1000_prepost,04_insert_first_root,3,13.924
artificial_trees_truebase_1000_prepost,04_insert_first_root,4,14.196
artificial_trees_truebase_1000_prepost,04_insert_first_root,5,14.358
artificial_trees_truebase_100_baseline,01_insert_last_child_under_last_root,1,2.455
artificial_trees_truebase_100_baseline,01_insert_last_child_under_last_root,2,2.371
artificial_trees_truebase_100_baseline,01_insert_last_child_under_last_root,3,2.403
artificial_trees_truebase_100_baseline,01_insert_last_child_under_last_root,4,1.926
artificial_trees_truebase_100_baseline,01_insert_last_child_under_last_root,5,2.368
artificial_trees_truebase_100_baseline,02_insert_first_child_under_first_root,1,2.303
artificial_trees_truebase_100_baseline,02_insert_first_child_under_first_root,2,2.229
artificial_trees_truebase_100_baseline,02_insert_first_child_under_first_root,3,2.191
artificial_trees_truebase_100_baseline,02_insert_first_child_under_first_root,4,2.235
artificial_trees_truebase_100_baseline,02_insert_first_child_under_first_root,5,2.307
artificial_trees_truebase_100_baseline,03_insert_last_root,1,1.689
artificial_trees_truebase_100_baseline,03_insert_last_root,2,1.627
artificial_trees_truebase_100_baseline,03_insert_last_root,3,1.652
artificial_trees_truebase_100_baseline,03_insert_last_root,4,1.471
artificial_trees_truebase_100_baseline,03_insert_last_root,5,1.467
artificial_trees_truebase_100_baseline,04_insert_first_root,1,1.607
artificial_trees_truebase_100_baseline,04_insert_first_root,2,1.464
artificial_trees_truebase_100_baseline,04_insert_first_root,3,1.530
artificial_trees_truebase_100_baseline,04_insert_first_root,4,1.603
artificial_trees_truebase_100_baseline,04_insert_first_root,5,1.507
artificial_trees_truebase_100_dewey,01_insert_last_child_under_last_root,1,3.699
artificial_trees_truebase_100_dewey,01_insert_last_child_under_last_root,2,3.368
artificial_trees_truebase_100_dewey,01_insert_last_child_under_last_root,3,3.524
artificial_trees_truebase_100_dewey,01_insert_last_child_under_last_root,4,3.388
artificial_trees_truebase_100_dewey,01_insert_last_child_under_last_root,5,3.369
artificial_trees_truebase_100_dewey,02_insert_first_child_under_first_root,1,5.503
artificial_trees_truebase_100_dewey,02_insert_first_child_under_first_root,2,5.030
artificial_trees_truebase_100_dewey,02_insert_first_child_under_first_root,3,4.893
artificial_trees_truebase_100_dewey,02_insert_first_child_under_first_root,4,4.881
artificial_trees_truebase_100_dewey,02_insert_first_child_under_first_root,5,4.781
artificial_trees_truebase_100_dewey,03_insert_last_root,1,2.142
artificial_trees_truebase_100_dewey,03_insert_last_root,2,2.020
artificial_trees_truebase_100_dewey,03_insert_last_root,3,1.997
artificial_trees_truebase_100_dewey,03_insert_last_root,4,1.988
artificial_trees_truebase_100_dewey,03_insert_last_root,5,2.047
artificial_trees_truebase_100_dewey,04_insert_first_root,1,3.772
artificial_trees_truebase_100_dewey,04_insert_first_root,2,3.702
artificial_trees_truebase_100_dewey,04_insert_first_root,3,3.657
artificial_trees_truebase_100_dewey,04_insert_first_root,4,4.226
