Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
s1,count_leaves,baseline,18.782
s1,count_leaves,dewey,242.621
s1,count_leaves,prepost,60.455
s1,check_same_subtree_true,baseline,19.868
s1,check_same_subtree_true,dewey,102.691
s1,check_same_subtree_true,prepost,213.147
s1,all_ancestors,baseline,7.531
s1,all_ancestors,dewey,209.156
s1,all_ancestors,prepost,112.786
s1,check_if_ancestor_true,baseline,44.685
s1,check_if_ancestor_true,dewey,1.966
s1,check_if_ancestor_true,prepost,1.715
s1,check_same_subtree_false,baseline,18.768
s1,check_same_subtree_false,dewey,106.475
s1,check_same_subtree_false,prepost,206.538
s1,check_if_ancestor_false,baseline,55.589
s1,check_if_ancestor_false,dewey,2.237
s1,check_if_ancestor_false,prepost,1.881
s_all_tagclass,all_descendants,baseline,8.217
s_all_tagclass,all_descendants,dewey,3.449
s_all_tagclass,all_descendants,prepost,5.139
s_all_tagclass,all_children,baseline,6.849
s_all_tagclass,all_children,dewey,4.605
s_all_tagclass,all_children,prepost,6.99
s_all_tagclass,all_leaves,baseline,15.753
s_all_tagclass,all_leaves,dewey,12.633
s_all_tagclass,all_leaves,prepost,8.186
s_all_tagclass,count_descendants,baseline,12.518
s_all_tagclass,count_descendants,dewey,13.093
s_all_tagclass,count_descendants,prepost,1.199
s_all_tagclass,count_leaves,baseline,17.747
s_all_tagclass,count_leaves,dewey,16.252
s_all_tagclass,count_leaves,prepost,11.732
s_all_tagclass,check_same_subtree_true,baseline,20.834
s_all_tagclass,check_same_subtree_true,dewey,13.363
s_all_tagclass,check_same_subtree_true,prepost,8.457
s_all_tagclass,all_ancestors,baseline,13.067
s_all_tagclass,all_ancestors,dewey,7.077
s_all_tagclass,all_ancestors,prepost,7.022
s_all_tagclass,check_if_ancestor_true,baseline,56.006
s_all_tagclass,check_if_ancestor_true,dewey,1.945
s_all_tagclass,check_if_ancestor_true,prepost,1.889
s_all_tagclass,check_same_subtree_false,baseline,21.745
