graph,query,scenario,run,runtime_ms
artificial_trees_truebase_100000_baseline,01_all_descendants,q03,4,1.987
artificial_trees_truebase_100000_baseline,01_all_descendants,q03,5,2.125
artificial_trees_truebase_100000_dewey,01_all_descendants,q03,1,13.581
artificial_trees_truebase_100000_dewey,01_all_descendants,q03,2,2.440
artificial_trees_truebase_100000_dewey,01_all_descendants,q03,3,2.478
artificial_trees_truebase_100000_dewey,01_all_descendants,q03,4,2.480
artificial_trees_truebase_100000_dewey,01_all_descendants,q03,5,3.290
artificial_trees_truebase_100000_prepost,01_all_descendants,q03,1,12.062
artificial_trees_truebase_100000_prepost,01_all_descendants,q03,2,2.940
artificial_trees_truebase_100000_prepost,01_all_descendants,q03,3,3.294
artificial_trees_truebase_100000_prepost,01_all_descendants,q03,4,3.266
artificial_trees_truebase_100000_prepost,01_all_descendants,q03,5,3.287
artificial_trees_truebase_100000_baseline,01_all_descendants,q04,1,9.367
artificial_trees_truebase_100000_baseline,01_all_descendants,q04,2,1.820
artificial_trees_truebase_100000_baseline,01_all_descendants,q04,3,1.362
artificial_trees_truebase_100000_baseline,01_all_descendants,q04,4,1.391
artificial_trees_truebase_100000_baseline,01_all_descendants,q04,5,1.448
artificial_trees_truebase_100000_dewey,01_all_descendants,q04,1,12.265
artificial_trees_truebase_100000_dewey,01_all_descendants,q04,2,1.602
artificial_trees_truebase_100000_dewey,01_all_descendants,q04,3,1.515
artificial_trees_truebase_100000_dewey,01_all_descendants,q04,4,1.914
artificial_trees_truebase_100000_dewey,01_all_descendants,q04,5,1.562
artificial_trees_truebase_100000_prepost,01_all_descendants,q04,1,10.487
artificial_trees_truebase_100000_prepost,01_all_descendants,q04,2,1.889
artificial_trees_truebase_100000_prepost,01_all_descendants,q04,3,1.629
artificial_trees_truebase_100000_prepost,01_all_descendants,q04,4,1.561
artificial_trees_truebase_100000_prepost,01_all_descendants,q04,5,1.880
artificial_trees_ultratall_10_baseline,01_all_descendants,q01_q02,1,20.041
artificial_trees_ultratall_10_baseline,01_all_descendants,q01_q02,2,1.278
artificial_trees_ultratall_10_baseline,01_all_descendants,q01_q02,3,1.134
artificial_trees_ultratall_10_baseline,01_all_descendants,q01_q02,4,1.155
artificial_trees_ultratall_10_baseline,01_all_descendants,q01_q02,5,1.074
artificial_trees_ultratall_10_dewey,01_all_descendants,q01_q02,1,22.196
artificial_trees_ultratall_10_dewey,01_all_descendants,q01_q02,2,2.307
artificial_trees_ultratall_10_dewey,01_all_descendants,q01_q02,3,2.114
artificial_trees_ultratall_10_dewey,01_all_descendants,q01_q02,4,2.138
artificial_trees_ultratall_10_dewey,01_all_descendants,q01_q02,5,2.134
artificial_trees_ultratall_10_prepost,01_all_descendants,q01_q02,1,22.193
artificial_trees_ultratall_10_prepost,01_all_descendants,q01_q02,2,2.241
artificial_trees_ultratall_10_prepost,01_all_descendants,q01_q02,3,2.182
artificial_trees_ultratall_10_prepost,01_all_descendants,q01_q02,4,2.130
artificial_trees_ultratall_10_prepost,01_all_descendants,q01_q02,5,2.168
artificial_trees_ultratall_10_baseline,01_all_descendants,q03,1,6.232
artificial_trees_ultratall_10_baseline,01_all_descendants,q03,2,1.716
artificial_trees_ultratall_10_baseline,01_all_descendants,q03,3,1.743
artificial_trees_ultratall_10_baseline,01_all_descendants,q03,4,1.692
artificial_trees_ultratall_10_baseline,01_all_descendants,q03,5,1.698
artificial_trees_ultratall_10_dewey,01_all_descendants,q03,1,7.844
artificial_trees_ultratall_10_dewey,01_all_descendants,q03,2,1.891
artificial_trees_ultratall_10_dewey,01_all_descendants,q03,3,1.874
artificial_trees_ultratall_10_dewey,01_all_descendants,q03,4,1.921
artificial_trees_ultratall_10_dewey,01_all_descendants,q03,5,1.869
artificial_trees_ultratall_10_prepost,01_all_descendants,q03,1,7.480
artificial_trees_ultratall_10_prepost,01_all_descendants,q03,2,1.956
artificial_trees_ultratall_10_prepost,01_all_descendants,q03,3,1.938
artificial_trees_ultratall_10_prepost,01_all_descendants,q03,4,1.925
artificial_trees_ultratall_10_prepost,01_all_descendants,q03,5,1.906
artificial_trees_ultratall_10_baseline,01_all_descendants,q04,1,6.694
artificial_trees_ultratall_10_baseline,01_all_descendants,q04,2,1.340
artificial_trees_ultratall_10_baseline,01_all_descendants,q04,3,1.308
artificial_trees_ultratall_10_baseline,01_all_descendants,q04,4,1.265
artificial_trees_ultratall_10_baseline,01_all_descendants,q04,5,1.258
