Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
ultrawide_10,all_leaves,baseline,17.165
ultrawide_10,all_leaves,dewey,12.754
ultrawide_10,all_leaves,prepost,7.59
ultrawide_10,count_descendants,baseline,12.563
ultrawide_10,count_descendants,dewey,9.805
ultrawide_10,count_descendants,prepost,1.293
ultrawide_10,count_leaves,baseline,18.115
ultrawide_10,count_leaves,dewey,16.646
ultrawide_10,count_leaves,prepost,12.103
ultrawide_10,check_same_subtree_true,baseline,22.67
ultrawide_10,check_same_subtree_true,dewey,13.987
ultrawide_10,check_same_subtree_true,prepost,7.905
ultrawide_10,all_ancestors,baseline,11.419
ultrawide_10,all_ancestors,dewey,6.144
ultrawide_10,all_ancestors,prepost,6.145
ultrawide_10,check_if_ancestor_true,baseline,55.698
ultrawide_10,check_if_ancestor_true,dewey,2.041
ultrawide_10,check_if_ancestor_true,prepost,1.961
ultrawide_10,check_same_subtree_false,baseline,20.534
ultrawide_10,check_same_subtree_false,dewey,16.74
ultrawide_10,check_same_subtree_false,prepost,7.873
ultrawide_10,check_if_ancestor_false,baseline,51.173
ultrawide_10,check_if_ancestor_false,dewey,2.145
ultrawide_10,check_if_ancestor_false,prepost,1.914
s3,all_descendants,baseline,6.291
s3,all_descendants,dewey,3.096
s3,all_descendants,prepost,1.988
s3,all_children,baseline,7.152
s3,all_children,dewey,6.64
s3,all_children,prepost,6.006
s3,all_leaves,baseline,16.079
s3,all_leaves,dewey,13.054
s3,all_leaves,prepost,7.375
s3,count_descendants,baseline,10.983
s3,count_descendants,dewey,11.366
s3,count_descendants,prepost,1.369
s3,count_leaves,baseline,17.888
s3,count_leaves,dewey,15.486
s3,count_leaves,prepost,13.992
s3,check_same_subtree_true,baseline,21.899
s3,check_same_subtree_true,dewey,13.836
s3,check_same_subtree_true,prepost,7.791
s3,all_ancestors,baseline,12.836
s3,all_ancestors,dewey,6.438
s3,all_ancestors,prepost,7.321
s3,check_if_ancestor_true,baseline,27.469
s3,check_if_ancestor_true,dewey,1.451
s3,check_if_ancestor_true,prepost,1.356
s3,check_same_subtree_false,baseline,9.92
s3,check_same_subtree_false,dewey,5.391
s3,check_same_subtree_false,prepost,2.841
s3,check_if_ancestor_false,baseline,28.702
s3,check_if_ancestor_false,dewey,1.858
s3,check_if_ancestor_false,prepost,1.338
artificial_forest_40,all_descendants,baseline,6.334
artificial_forest_40,all_descendants,dewey,4.477
artificial_forest_40,all_descendants,prepost,5.082
artificial_forest_40,all_children,baseline,3.22
artificial_forest_40,all_children,dewey,2.563
artificial_forest_40,all_children,prepost,3.28
artificial_forest_40,all_leaves,baseline,11.273
artificial_forest_40,all_leaves,dewey,7.098
artificial_forest_40,all_leaves,prepost,4.362
artificial_forest_40,count_descendants,baseline,8.502
artificial_forest_40,count_descendants,dewey,4.785
artificial_forest_40,count_descendants,prepost,0.962
artificial_forest_40,count_leaves,baseline,15.407
artificial_forest_40,count_leaves,dewey,9.059
artificial_forest_40,count_leaves,prepost,5.782
artificial_forest_40,check_same_subtree_true,baseline,21.553
artificial_forest_40,check_same_subtree_true,dewey,11.653
artificial_forest_40,check_same_subtree_true,prepost,8.085
artificial_forest_40,all_ancestors,baseline,11.791
artificial_forest_40,all_ancestors,dewey,6.727
artificial_forest_40,all_ancestors,prepost,6.163
artificial_forest_40,check_if_ancestor_true,baseline,52.587
artificial_forest_40,check_if_ancestor_true,dewey,2.093
artificial_forest_40,check_if_ancestor_true,prepost,1.802
artificial_forest_40,check_same_subtree_false,baseline,20.98
artificial_forest_40,check_same_subtree_false,dewey,14.062
artificial_forest_40,check_same_subtree_false,prepost,8.291
artificial_forest_40,check_if_ancestor_false,baseline,54.602
artificial_forest_40,check_if_ancestor_false,dewey,2.029
artificial_forest_40,check_if_ancestor_false,prepost,1.777
s2,all_descendants,baseline,16.641
s2,all_descendants,dewey,4.663
s2,all_descendants,prepost,4.507
s2,all_children,baseline,6.941
s2,all_children,dewey,5.926
s2,all_children,prepost,5.505
s2,all_leaves,baseline,23.287
s2,all_leaves,dewey,9.365
s2,all_leaves,prepost,6.144
s2,count_descendants,baseline,15.254
s2,count_descendants,dewey,4.802
s2,count_descendants,prepost,1.125
s2,count_leaves,baseline,19.654
s2,count_leaves,dewey,10.193
s2,count_leaves,prepost,11.821
s2,check_same_subtree_true,baseline,20.943
s2,check_same_subtree_true,dewey,14.737
s2,check_same_subtree_true,prepost,9.089
s2,all_ancestors,baseline,16.719
s2,all_ancestors,dewey,7.224
s2,all_ancestors,prepost,7.373
s2,check_if_ancestor_true,baseline,52.381
s2,check_if_ancestor_true,dewey,2.073
s2,check_if_ancestor_true,prepost,1.7
s2,check_same_subtree_false,baseline,21.824
s2,check_same_subtree_false,dewey,13.481
s2,check_same_subtree_false,prepost,8.562
s2,check_if_ancestor_false,baseline,55.749
s2,check_if_ancestor_false,dewey,2.327
s2,check_if_ancestor_false,prepost,2.026
ultratall_1000,all_descendants,baseline,23.714
ultratall_1000,all_descendants,dewey,6.009
ultratall_1000,all_descendants,prepost,5.69
ultratall_1000,all_children,baseline,7.791
ultratall_1000,all_children,dewey,5.771
ultratall_1000,all_children,prepost,6.424
ultratall_1000,all_leaves,baseline,29.224
ultratall_1000,all_leaves,dewey,11.888
ultratall_1000,all_leaves,prepost,6.747
ultratall_1000,count_descendants,baseline,21.738
ultratall_1000,count_descendants,dewey,12.162
ultratall_1000,count_descendants,prepost,1.245
ultratall_1000,count_leaves,baseline,26.891
ultratall_1000,count_leaves,dewey,17.027
ultratall_1000,count_leaves,prepost,11.698
ultratall_1000,check_same_subtree_true,baseline,23.572
ultratall_1000,check_same_subtree_true,dewey,12.188
ultratall_1000,check_same_subtree_true,prepost,8.721
ultratall_1000,all_ancestors,baseline,19.586
ultratall_1000,all_ancestors,dewey,7.464
ultratall_1000,all_ancestors,prepost,6.478
ultratall_1000,check_if_ancestor_true,baseline,59.757
ultratall_1000,check_if_ancestor_true,dewey,2.265
ultratall_1000,check_if_ancestor_true,prepost,1.765
ultratall_1000,check_same_subtree_false,baseline,23.316
ultratall_1000,check_same_subtree_false,dewey,13.206
ultratall_1000,check_same_subtree_false,prepost,8.282
ultratall_1000,check_if_ancestor_false,baseline,58.56
ultratall_1000,check_if_ancestor_false,dewey,2.268
ultratall_1000,check_if_ancestor_false,prepost,1.746
truebase_1000,all_descendants,baseline,22.849
truebase_1000,all_descendants,dewey,5.219
truebase_1000,all_descendants,prepost,5.279
truebase_1000,all_children,baseline,7.008
truebase_1000,all_children,dewey,6.355
truebase_1000,all_children,prepost,7.402
truebase_1000,all_leaves,baseline,26.777
truebase_1000,all_leaves,dewey,9.542
