Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
ultratall_10000,check_same_subtree_true,dewey,1.896
ultratall_10000,check_same_subtree_true,prepost,5.245
ultratall_10000,all_ancestors,baseline,3.619
ultratall_10000,all_ancestors,dewey,7.163
ultratall_10000,all_ancestors,prepost,8.028
ultratall_10000,check_if_ancestor_true,baseline,2.075
ultratall_10000,check_if_ancestor_true,dewey,1.824
ultratall_10000,check_if_ancestor_true,prepost,2.0
ultratall_10000,check_same_subtree_false,baseline,2.427
ultratall_10000,check_same_subtree_false,dewey,2.028
ultratall_10000,check_same_subtree_false,prepost,5.131
ultratall_10000,check_if_ancestor_false,baseline,1.58
ultratall_10000,check_if_ancestor_false,dewey,1.404
ultratall_10000,check_if_ancestor_false,prepost,1.589
ultrawide_10,all_descendants,baseline,1.189
ultrawide_10,all_descendants,dewey,1.674
ultrawide_10,all_descendants,prepost,1.126
ultrawide_10,all_children,baseline,0.91
ultrawide_10,all_children,dewey,1.054
ultrawide_10,all_children,prepost,0.898
ultrawide_10,all_leaves,baseline,1.085
ultrawide_10,all_leaves,dewey,1.243
ultrawide_10,all_leaves,prepost,1.082
ultrawide_10,count_descendants,baseline,0.811
ultrawide_10,count_descendants,dewey,0.848
ultrawide_10,count_descendants,prepost,1.207
ultrawide_10,count_leaves,baseline,1.128
ultrawide_10,count_leaves,dewey,0.811
ultrawide_10,count_leaves,prepost,0.755
ultrawide_10,check_same_subtree_true,baseline,1.061
ultrawide_10,check_same_subtree_true,dewey,0.884
ultrawide_10,check_same_subtree_true,prepost,0.782
ultrawide_10,all_ancestors,baseline,0.827
ultrawide_10,all_ancestors,dewey,0.875
ultrawide_10,all_ancestors,prepost,0.911
ultrawide_10,check_if_ancestor_true,baseline,1.218
ultrawide_10,check_if_ancestor_true,dewey,0.888
ultrawide_10,check_if_ancestor_true,prepost,0.9
ultrawide_10,check_same_subtree_false,baseline,0.837
ultrawide_10,check_same_subtree_false,dewey,0.682
ultrawide_10,check_same_subtree_false,prepost,0.737
ultrawide_10,check_if_ancestor_false,baseline,0.748
ultrawide_10,check_if_ancestor_false,dewey,0.614
ultrawide_10,check_if_ancestor_false,prepost,0.622
s3,all_descendants,baseline,4.006
s3,all_descendants,dewey,4.675
s3,all_descendants,prepost,4.416
s3,all_children,baseline,0.924
s3,all_children,dewey,1.125
s3,all_children,prepost,1.014
s3,all_leaves,baseline,3.341
s3,all_leaves,dewey,3.575
s3,all_leaves,prepost,3.528
s3,count_descendants,baseline,0.902
s3,count_descendants,dewey,0.855
s3,count_descendants,prepost,0.836
s3,count_leaves,baseline,1.323
s3,count_leaves,dewey,1.166
s3,count_leaves,prepost,0.806
s3,check_same_subtree_true,baseline,1.125
s3,check_same_subtree_true,dewey,0.723
s3,check_same_subtree_true,prepost,0.875
s3,all_ancestors,baseline,1.195
s3,all_ancestors,dewey,1.279
s3,all_ancestors,prepost,0.959
s3,check_if_ancestor_true,baseline,1.004
s3,check_if_ancestor_true,dewey,0.797
s3,check_if_ancestor_true,prepost,0.866
s3,check_same_subtree_false,baseline,0.772
s3,check_same_subtree_false,dewey,0.663
s3,check_same_subtree_false,prepost,0.732
s3,check_if_ancestor_false,baseline,0.78
s3,check_if_ancestor_false,dewey,0.646
s3,check_if_ancestor_false,prepost,0.663
artificial_forest_40,all_descendants,baseline,1.449
artificial_forest_40,all_descendants,dewey,1.811
artificial_forest_40,all_descendants,prepost,1.468
artificial_forest_40,all_children,baseline,1.111
artificial_forest_40,all_children,dewey,1.394
artificial_forest_40,all_children,prepost,1.269
artificial_forest_40,all_leaves,baseline,2.06
artificial_forest_40,all_leaves,dewey,2.299
artificial_forest_40,all_leaves,prepost,1.626
artificial_forest_40,count_descendants,baseline,1.204
artificial_forest_40,count_descendants,dewey,1.143
artificial_forest_40,count_descendants,prepost,1.104
artificial_forest_40,count_leaves,baseline,1.549
artificial_forest_40,count_leaves,dewey,1.699
artificial_forest_40,count_leaves,prepost,1.281
artificial_forest_40,check_same_subtree_true,baseline,2.065
artificial_forest_40,check_same_subtree_true,dewey,1.57
artificial_forest_40,check_same_subtree_true,prepost,1.713
artificial_forest_40,all_ancestors,baseline,1.603
artificial_forest_40,all_ancestors,dewey,1.636
artificial_forest_40,all_ancestors,prepost,1.503
artificial_forest_40,check_if_ancestor_true,baseline,1.658
artificial_forest_40,check_if_ancestor_true,dewey,1.646
artificial_forest_40,check_if_ancestor_true,prepost,1.433
artificial_forest_40,check_same_subtree_false,baseline,1.62
artificial_forest_40,check_same_subtree_false,dewey,1.463
artificial_forest_40,check_same_subtree_false,prepost,1.467
artificial_forest_40,check_if_ancestor_false,baseline,1.431
artificial_forest_40,check_if_ancestor_false,dewey,1.203
artificial_forest_40,check_if_ancestor_false,prepost,1.206
s2,all_descendants,baseline,26.176
s2,all_descendants,dewey,30.345
s2,all_descendants,prepost,30.736
s2,all_children,baseline,2.166
s2,all_children,dewey,2.786
s2,all_children,prepost,2.869
s2,all_leaves,baseline,24.728
s2,all_leaves,dewey,27.954
s2,all_leaves,prepost,28.718
s2,count_descendants,baseline,1.536
s2,count_descendants,dewey,1.197
s2,count_descendants,prepost,0.988
s2,count_leaves,baseline,2.647
s2,count_leaves,dewey,2.024
s2,count_leaves,prepost,1.46
s2,check_same_subtree_true,baseline,1.151
s2,check_same_subtree_true,dewey,0.819
s2,check_same_subtree_true,prepost,0.924
s2,all_ancestors,baseline,0.815
s2,all_ancestors,dewey,0.923
s2,all_ancestors,prepost,1.09
s2,check_if_ancestor_true,baseline,1.027
s2,check_if_ancestor_true,dewey,1.078
s2,check_if_ancestor_true,prepost,0.731
s2,check_same_subtree_false,baseline,0.767
s2,check_same_subtree_false,dewey,0.68
s2,check_same_subtree_false,prepost,0.713
s2,check_if_ancestor_false,baseline,0.798
s2,check_if_ancestor_false,dewey,0.645
s2,check_if_ancestor_false,prepost,0.691
ultratall_1000,all_descendants,baseline,33.748
ultratall_1000,all_descendants,dewey,38.088
ultratall_1000,all_descendants,prepost,38.674
ultratall_1000,all_children,baseline,1.978
ultratall_1000,all_children,dewey,3.573
ultratall_1000,all_children,prepost,2.906
ultratall_1000,all_leaves,baseline,19.036
ultratall_1000,all_leaves,dewey,23.496
ultratall_1000,all_leaves,prepost,20.871
ultratall_1000,count_descendants,baseline,3.491
ultratall_1000,count_descendants,dewey,2.203
ultratall_1000,count_descendants,prepost,2.466
ultratall_1000,count_leaves,baseline,4.429
ultratall_1000,count_leaves,dewey,5.372
ultratall_1000,count_leaves,prepost,2.755
ultratall_1000,check_same_subtree_true,baseline,1.653
ultratall_1000,check_same_subtree_true,dewey,1.919
ultratall_1000,check_same_subtree_true,prepost,2.094
ultratall_1000,all_ancestors,baseline,4.231
ultratall_1000,all_ancestors,dewey,5.157
ultratall_1000,all_ancestors,prepost,4.648
ultratall_1000,check_if_ancestor_true,baseline,1.739
ultratall_1000,check_if_ancestor_true,dewey,1.319
ultratall_1000,check_if_ancestor_true,prepost,1.356
ultratall_1000,check_same_subtree_false,baseline,1.677
ultratall_1000,check_same_subtree_false,dewey,1.361
ultratall_1000,check_same_subtree_false,prepost,1.715
ultratall_1000,check_if_ancestor_false,baseline,0.975
ultratall_1000,check_if_ancestor_false,dewey,0.74
ultratall_1000,check_if_ancestor_false,prepost,0.758
truebase_1000,all_descendants,baseline,32.757
truebase_1000,all_descendants,dewey,37.813
truebase_1000,all_descendants,prepost,38.844
