Rank,Slowdown,Graph Name,Query Name,Annotation Method,Annotated Runtime (ms),Baseline Runtime (ms)
44,1.5431530494821635,truebase_1000,all_children,prepost,2.682,1.738
45,1.4882860665844637,ultrawide_10,count_descendants,prepost,1.207,0.811
46,1.4691607684529828,ultratall_1000,all_children,prepost,2.906,1.978
47,1.4429005644811117,s_all_place,all_children,dewey,3.323,2.303
48,1.4375316135558927,ultrawide_1000,all_children,prepost,2.842,1.977
49,1.4102127659574468,truebase_100,all_ancestors,dewey,3.314,2.35
50,1.4079058031959628,ultrawide_10,all_descendants,dewey,1.674,1.189
51,1.374151857835218,truebase_1000,all_ancestors,prepost,4.253,3.095
52,1.3622418879056049,ultrawide_100,all_descendants,dewey,9.236,6.78
53,1.3466882067851373,truebase_1000,all_ancestors,dewey,4.168,3.095
54,1.3374233128834359,s2,all_ancestors,prepost,1.09,0.815
55,1.33608336951802,s_all_place,all_children,prepost,3.077,2.303
56,1.3356913183279744,s_all_place,all_ancestors,prepost,2.077,1.555
57,1.324561403508772,s2,all_children,prepost,2.869,2.166
58,1.3080522833629176,truebase_100,all_leaves,dewey,8.106,6.197
59,1.2893335484912054,truebase_100,all_leaves,prepost,7.99,6.197
60,1.2880668541328368,truebase_10000,all_leaves,dewey,325.224,252.49
61,1.2862419205909512,s2,all_children,dewey,2.786,2.166
62,1.2791164658634537,ultrawide_100,check_same_subtree_false,prepost,1.274,0.996
63,1.2667876588021778,ultratall_1000,check_same_subtree_true,prepost,2.094,1.653
64,1.2604284103720407,s1,all_children,prepost,1.118,0.887
65,1.260032102728732,artificial_forest_1000,all_children,dewey,2.355,1.869
66,1.2547254725472547,artificial_forest_40,all_children,dewey,1.394,1.111
67,1.2498274672187715,artificial_forest_40,all_descendants,dewey,1.811,1.449
68,1.2395454545454543,truebase_1000,count_leaves,dewey,5.454,4.4
69,1.2342929186803948,ultratall_1000,all_leaves,dewey,23.496,19.036
70,1.2306239503313467,ultratall_10000,all_descendants,dewey,405.941,329.866
71,1.2302127659574467,truebase_100,all_ancestors,prepost,2.891,2.35
72,1.2296442687747038,truebase_100,all_children,dewey,3.111,2.53
73,1.2267583758597738,s_all_tagclass,all_descendants,dewey,5.529,4.507
74,1.2236150436844053,ultratall_10000,all_descendants,prepost,403.629,329.866
75,1.222948142098816,ultrawide_1000,all_ancestors,prepost,2.995,2.449
76,1.2224010911118797,truebase_100000,all_descendants,prepost,4662.349,3814.091
77,1.2222222222222223,s_all_tagclass,all_children,dewey,1.221,0.999
78,1.2211538461538463,truebase_10,count_descendants,dewey,1.397,1.144
79,1.2188607894114867,ultratall_1000,all_ancestors,dewey,5.157,4.231
80,1.2186623948738486,ultratall_10,all_descendants,prepost,3.043,2.497
81,1.2175324675324675,s3,all_children,dewey,1.125,0.924
82,1.217217217217217,s_all_tagclass,all_children,prepost,1.216,0.999
83,1.2159468438538206,artificial_forest_1000,all_ancestors,dewey,3.294,2.709
84,1.212914879205238,ultratall_1000,count_leaves,dewey,5.372,4.429
85,1.2064424001055567,ultrawide_100000,all_descendants,prepost,4635.732,3842.481
86,1.2054574638844302,artificial_forest_1000,all_children,prepost,2.253,1.869
87,1.2040951122853367,ultratall_10,all_ancestors,prepost,1.823,1.514
88,1.2030766963871602,truebase_100000,all_descendants,dewey,4588.644,3814.091
89,1.2012559073161324,ultrawide_100000,all_descendants,dewey,4615.803,3842.481
90,1.1870166616336018,ultrawide_10000,all_leaves,dewey,361.627,304.652
91,1.1859036390779265,ultratall_100000,all_descendants,dewey,4520.839,3812.147
92,1.1858228775528896,truebase_1000,all_descendants,prepost,38.844,32.757
93,1.1847458650247495,ultrawide_1000,all_descendants,prepost,39.253,33.132
94,1.1748346469167097,truebase_10000,all_leaves,prepost,296.634,252.49
95,1.1742053789731053,s2,all_descendants,prepost,30.736,26.176
96,1.1678236014699879,ultrawide_1000,all_ancestors,dewey,2.86,2.449
97,1.1669995007488765,s3,all_descendants,dewey,4.675,4.006
98,1.1656268764032447,ultratall_100000,all_descendants,prepost,4443.541,3812.147
99,1.163978259544574,truebase_10000,all_descendants,prepost,439.24,377.361
100,1.1613555483662243,s2,all_leaves,prepost,28.718,24.728
101,1.1610482002414908,s_all_place,all_leaves,prepost,35.578,30.643
102,1.160919540229885,ultratall_1000,check_same_subtree_true,dewey,1.919,1.653
103,1.1592680317848412,s2,all_descendants,dewey,30.345,26.176
104,1.158754907238423,ultrawide_10000,all_leaves,prepost,353.017,304.652
105,1.1582417582417583,ultrawide_10,all_children,dewey,1.054,0.91
106,1.1570338058887677,s1,count_leaves,dewey,1.061,0.917
